,1/3,1/6,1/6,1/3,1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
1/3,,1/6,1/6,1/3,1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
1/3,1/3,1/6,1/6,,1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
1/3,1/3,1/6,1/6,1/3,,1/4,1/4,,1,1/2,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,1/6,1/6,,,,,1/2,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,1/2,,,,,,,,,,1/9,,,,1/10,,,,,,1/8,,,1/8,,1/39,1/6,1/9,,1/39,
,,,,,,1/4,1/4,,,,,,,,,,,1/9,,,,1/10,1/2,,,,,1/8,,,1/8,,1/39,,1/9,,1/39,1/4
,,,,,,1/4,1/4,,,1/2,1/3,,,,1/7,,,1/9,,,,1/10,,,,,,1/8,,,1/8,,1/39,,1/9,,1/39,
,,,,,,1/4,1/4,,,,1/3,,,,,,,1/9,,,,1/10,1/2,,,,,1/8,,,1/8,,1/39,1/6,1/9,,1/39,1/4
,,,,,,,,,,,,1,,,1/7,,,,,1/7,1/6,1/10,,,,1/5,,1/8,1/9,1/7,1/8,,1/39,,1/9,,1/39,1/4
,,,,,,,,,,,1/3,,,,,,,,,1/7,1/6,1/10,,,,,,1/8,1/9,1/7,1/8,,1/39,,,,1/39,1/4
,,,,,,,,,,,,,,1/2,1/7,,1/4,1/9,,1/7,1/6,1/10,,,,1/5,,1/8,1/9,1/7,1/8,,1/39,1/6,1/9,1/6,1/39,
,,,,,,,,,,,,,1,,1/7,1/4,1/4,1/9,,1/7,1/6,1/10,,,,,,1/8,1/9,1/7,1/8,,1/39,,,1/6,1/39,
,,,,,,,,,,,,,,1/2,,1/4,1/4,1/9,1/2,1/7,1/6,1/10,,1/2,1/2,1/5,,,1/9,1/7,,,1/39,1/6,1/9,1/6,1/39,
,,,,,,,,,,,,,,,1/7,,1/4,1/9,1/2,1/7,1/6,1/10,,1/2,,,,,1/9,1/7,,,1/39,1/6,,1/6,1/39,
,,,,,,,,,,,,,,,,,,1/9,,,,,,,,1/5,,,1/9,,,,1/39,,1/9,1/6,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/9,1/7,,,1/39,,1/9,1/6,1/39,
,,,,,,,,,,,,,,,,1/4,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,1/4,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,1/7,,,,,1/7,,,,,1/2,1/5,,,1/9,,,,1/39,1/6,,,1/39,
,,,,,,,,,,,,,,,1/7,,,,,,,,,,,,1,,,,,1,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/39,,,,1/39,
